"3","7225"
"4","430"
"5","1254"
"5","853"
"7","8064"
"8","853"
"10","776"
"13","776"
"14","1961"
"16","8414"
"18","922"
"20","2822"
"24","6440"
"27","8415"
"30","7307"
"32","430"
"33","7363"
"34","5921"
"36","6440"
"39","4325"
"41","430"
"42","559"
"45","1961"
"46","216"
"50","216"
"52","430"
"53","7200"
"53","853"
"55","216"
"56","3588"
"59","2896"
"61","430"
"62","914"
"62","996"
"64","216"
"65","996"
"67","2822"
"69","430"
"70","7121"
"72","216"
"73","3117"
"76","2822"
"78","7121"
"79","3915"
"82","6153"
"85","1242"
"88","259"
"89","3117"
"91","430"
"92","559"
"97","7549"
"100","8432"
"103","4325"
"107","914"
"109","4325"
"112","4325"
"114","430"
"115","6213"
"117","7549"
"119","914"
"121","4325"
"122","834"
"124","8478"
"126","7549"
"129","4325"
"130","834"
"132","5921"
"134","7549"
"138","3651"
"140","430"
"141","7121"
"143","7549"
"144","8064"
"147","6153"
"150","1242"
"153","8145"
"154","3117"
"156","430"
"157","559"
"160","4325"
"163","8064"
"166","6960"
"167","413"
"168","259"
"169","4725"
"173","3004"
"175","7200"
"181","430"
"182","7121"
"184","3004"
"186","776"
"190","4723"
"193","4325"
"194","7121"
"196","3220"
"198","430"
"199","7200"
"203","2896"
"205","430"
"206","559"
"209","776"
"211","1876"
"212","1877"
"214","6212"
"215","2232"
"216","2233"
"219","6529"
"220","6086"
"221","6213"
"222","6529"
"225","4327"
"226","834"
"227","2233"
"233","776"
"240","776"
"242","3318"
"243","1877"
"245","6212"
"246","2232"
"247","2233"
"250","4327"
"253","6086"
"254","6213"
"255","6529"
"257","2233"
"263","4327"
"265","430"
"266","7200"
"270","2896"
"273","6153"
"276","1242"
"279","7992"
"280","3117"
"282","430"
"283","559"
"287","3974"
"290","7549"
"293","8064"
"295","914"
"297","3117"
"300","3915"
"306","226"
"309","4150"
"312","3117"
"314","8141"
"320","3974"
"323","7549"
"326","8064"
"329","215"
"332","776"
"338","430"
"339","6213"
"340","8147"
"341","1419"
"342","3974"
"344","1419"
"345","3974"
"347","4475"
"349","3117"
"352","6996"
"353","3974"
"355","4475"
"357","3915"
"361","3556"
"364","430"
"365","5414"
"369","7549"
"372","8064"
"375","215"
"378","776"
"381","4910"
